compound_label,compound_proxy,canonical_smiles,compound_chembl_id,literature_target,model_target,target_label,standard_type,standard_relation,standard_value_nM,pchembl_value,document_chembl_id,year,doi,pubmed_id,assay_note,comparability
Adderall,d-amphetamine,C[C@H](N)Cc1ccccc1,CHEMBL612,CHEMBL238,CHEMBL238,DAT,EC50,=,24.8,7.61,CHEMBL1926662,2011,10.1016/j.bmc.2011.10.007,22037049,human DAT dopamine reuptake inhibition,d-amphetamine proxy for mixed amphetamine salts
Adderall,d-amphetamine,C[C@H](N)Cc1ccccc1,CHEMBL612,CHEMBL238,CHEMBL238,DAT,Ki,=,109.0,6.96,CHEMBL2390840,2013,10.1016/j.bmcl.2013.03.066,23602445,human DAT uptake assay,d-amphetamine proxy for mixed amphetamine salts
Adderall,d-amphetamine,C[C@H](N)Cc1ccccc1,CHEMBL612,CHEMBL238,CHEMBL238,DAT,IC50,=,288.4,6.54,CHEMBL2390840,2013,10.1016/j.bmcl.2013.03.066,23602445,human DAT uptake assay,d-amphetamine proxy for mixed amphetamine salts
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,Ki,=,3.162,8.50,CHEMBL1145901,2003,10.1021/jm0341204,14613313,human cloned 5HT2A receptor binding,direct target binding
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,Ki,=,2.6,8.59,CHEMBL1150367,2008,10.1016/j.bmc.2008.04.050,18468904,human 5HT2A ketanserin displacement,direct target binding
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,Ki,=,4.0,8.40,CHEMBL1150367,2008,10.1016/j.bmc.2008.04.050,18468904,human 5HT2A INBMeO displacement,direct target binding
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,Ki,=,3.1,8.51,CHEMBL1150367,2008,10.1016/j.bmc.2008.04.050,18468904,human 5HT2A ketanserin displacement,direct target binding
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,Ki,=,3.5,8.46,CHEMBL1150367,2008,10.1016/j.bmc.2008.04.050,18468904,human 5HT2A INBMeO displacement,direct target binding
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,EC50,=,12.9,7.89,CHEMBL5113537,2022,10.1021/acs.jmedchem.2c00702,36099411,human 5HT2A beta-arrestin recruitment,functional endpoint
LSD,Lysergide,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL263881,CHEMBL224,CHEMBL224,5HT2A,EC50,=,13.2,7.88,CHEMBL5113537,2022,10.1021/acs.jmedchem.2c00702,36099411,human 5HT2A mini-Galphaq recruitment,functional endpoint
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,Ki,=,41.0,7.39,CHEMBL1131164,1998,10.1021/jm9803875,9784115,CB1 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,Ki,=,28.5,7.54,CHEMBL1136287,2003,10.1016/s0960-894x(03)00729-7,14505654,human CB1 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,Ki,=,17.0,7.77,CHEMBL1149535,2007,10.1016/j.bmcl.2007.04.099,17531479,human CB1 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,Ki,=,2.9,8.54,CHEMBL1157439,2008,10.1016/j.bmcl.2008.05.073,18522867,human CB1 displacement,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,IC50,=,2.8,8.55,CHEMBL1926606,2011,10.1021/np200610t,21999614,human recombinant CB1 displacement,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL218,CHEMBL218,CB1,Ki,=,10.0,8.00,CHEMBL1949601,2012,10.1016/j.bmcl.2011.12.124,22284817,human CB1 displacement,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL253,CHEMBL253,CB2,Ki,=,32.2,7.49,CHEMBL1130395,1997,10.1021/jm970126f,9379442,human CB2 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL253,CHEMBL253,CB2,Ki,=,36.0,7.44,CHEMBL1133684,2000,10.1021/jm0001572,11020293,CB2 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL253,CHEMBL253,CB2,Ki,=,25.0,7.60,CHEMBL1136287,2003,10.1016/s0960-894x(03)00729-7,14505654,human CB2 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL253,CHEMBL253,CB2,Ki,=,3.3,8.48,CHEMBL1149535,2007,10.1016/j.bmcl.2007.04.099,17531479,human CB2 binding,direct target binding
D9THC,Dronabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,CHEMBL253,CHEMBL253,CB2,Ki,=,41.0,7.39,CHEMBL1157439,2008,10.1016/j.bmcl.2008.05.073,18522867,human CB2 displacement,direct target binding
